739152242	198
739152546	195
739152867	198
739153170	195
739153490	196
739153795	-1073544
739154114	196
739154420	197
739154741	196
739155045	197
739155364	195
739155669	195
739155988	196
739156292	196
739156612	196
739156919	195
739157239	196
739157542	200
739157861	196
739158164	195
739158484	195
739158789	197
739159111	197
739159415	196
739159734	198
739160038	196
739160361	197
739160666	198
739160987	195
739161292	197
739161618	196
739161922	198
739162241	197
739162545	196
739162871	197
739163175	197
739163503	196
739163810	197
739164130	198
739164434	196
739164755	198
739165061	197
739165385	196
739165689	197
739166008	199
739166311	196
739166630	197
739166934	196
739167255	198
739167559	199
739167880	198
739168186	196
739168505	196
739168809	197
739169129	197
739169434	196
739169753	195
739170057	196
739170378	195
739170684	196
739171003	194
739171307	197
739171627	195
739171932	195
739172252	195
739172555	196
739172875	196
739173179	195
739173498	195
739173802	196
739174124	195
739174429	197
739174748	195
739175052	195
739175375	195
739175680	195
739175999	195
739176303	195
739176624	196
739176927	197
739177250	196
739177554	194
739177873	196
739178177	195
739194726	194
739195050	194
739195354	195
739195674	195
739195978	195
739196297	197
739196606	195
739196928	195
739197234	195
739197554	195
739197858	196
739198178	196
739198482	195
739198804	195
739199108	196
739199427	198
739199731	194
739200053	196
739200357	197
739200680	196
739200985	195
739201305	196
739201609	196
739201930	197
739202240	196
739202562	194
739202865	196
739203191	196
739203495	196
739203818	196
739204122	196
739204447	195
739204751	198
739205078	195
739205381	197
739205706	196
739206010	194
739206334	197
739206643	199
739206968	197
739207276	196
739207599	198
739207903	198
739208223	195
739208527	195
739208855	195
739209159	200
739209483	197
739209788	198
739210116	197
739210425	196
739210753	195
739211057	196
739211384	195
739211695	195
739212015	195
739212330	197
739212665	196
739212975	196
739213301	196
739213605	195
739213929	196
739214235	197
739214570	195
739214873	196
739215198	195
739215502	195
739215822	198
739216131	196
739216455	197
739216769	195
739217106	197
739217425	198
739217748	195
739218057	195
739218378	195
739218682	196
739219011	196
739219320	195
739219645	194
739219949	194
739220269	194
739220573	196
739220894	196
739221201	195
739221528	195
739221837	196
739222158	197
739222467	196
739222786	195
739223089	195
739223411	195
739223720	196
739224038	197
739224342	195
739224663	196
739224968	196
739225287	195
739225591	195
739225911	195
739226214	196
739226532	197
739226841	197
739227165	196
739227470	195
739227789	196
