739372133	66619352	191
739372787	26744556	191
739373440	52218584	191
739374097	-1	-18
739374751	12072537	191
739375403	28076526	191
739376053	13765887	191
739376705	-1	-18
739377357	25153714	191
739378009	27479648	191
739378664	15827160	193
739379326	14501353	194
739379978	12833544	194
739380631	-1	-18
739381288	14617098	195
739381942	-1	-18
739382598	19420388	194
739383251	11889615	191
739383903	-1	-18
739384559	-1	-18
739385214	10656325	190
739385874	28112582	191
739386531	42771068	192
739387137	2441032960	191
739387795	-1	-18
739388396	36276660	192
739389049	878971072	192
739389650	-1	-18
739390306	16768831	192
739390959	19895066	192
739391610	113906832	192
739392262	24925116	192
739392917	60066956	192
739393570	-1	-18
739394221	33009086	191
739394877	46577248	194
739395533	31227210	195
739396190	36762568	194
739397528	31676764	193
739398326	-1	-18
739398866	21057612	193
739398984	90841856	192
739399212	129319760	193
739399826	18123486	194
739400431	49626744	193
739401093	51727616	194
739401756	-1	-18
739402418	36158304	195
739403082	83910360	194
739403758	-1	-18
739404367	-1	-18
739404980	32910218	194
739405649	64847872	194
739406328	-1	-18
739407003	-1	-18
739407678	41323488	194
739408347	14675585	194
739409021	19335026	194
739409693	42853640	194
739410361	32377350	194
739411030	28587828	194
