739065995	-1	-18
739067128	26391110	192
739067755	12540734	191
739068377	37324596	191
739069006	11644082	190
739069635	-1	-18
739070269	21983896	191
739070898	43020952	191
739071521	32861026	191
739072147	17800938	191
739072771	-1	-18
739073395	62992872	193
739074024	23638750	193
739074652	199853424	191
739075277	31677442	190
739075901	45140488	190
739076525	7330861568	191
739077149	45991800	191
739077772	18198652	190
739078398	28112890	190
739079025	34403504	191
739079649	17121350	191
739080272	-1	-18
739080897	53751064	191
739081520	29389844	191
739082145	38568376	191
739082774	15965177	191
739083398	67025740	191
739084023	1374140544	192
739084648	23487362	191
739085272	-1	-18
739085898	19859158	191
739086522	87584520	191
739087146	17175042	190
739087771	45142396	191
739088395	-1	-18
739089020	72794808	191
739089644	-1	-18
739090268	38636380	191
739090893	78233904	191
739091517	281885536	190
739092141	13396684	190
739092765	14020346	190
739093389	15309168	191
739094015	12619911	191
739094644	22875944	191
739095268	42114224	190
739095891	76330648	193
739096514	70462552	191
739097141	18567522	192
739097765	175870000	191
739098389	18396620	191
739099014	58780588	191
739099638	-1	-18
739100262	31139026	191
739100888	19859080	191
739101511	16923772	191
739102134	21766240	191
739102759	35979876	192
739103384	-1	-18
739104008	10630608	190
739104633	127073840	191
739105257	122136040	191
739105885	91225272	191
739106510	11793950	192
739107135	12260987	191
739107758	-1	-18
739108112	-1	-18
739108719	-1	-18
739109343	24645642	191
739109967	39610212	190
739110592	19895254	190
739111216	33926288	191
739111841	33718240	191
739112490	14607253	190
739113113	26265296	190
739113740	37708360	191
739114366	12848655	191
739114992	477833760	190
739115626	-1	-18
739116257	309602176	191
739116896	20488306	191
739117524	24508392	191
739118155	29429636	191
739118781	30618792	191
739119412	33666064	191
739120036	22640518	191
739120660	16141049	191
739121285	16858866	192
739121916	54282092	191
739122540	18473860	191
739123170	-1	-18
739123801	18381174	191
739124424	15006274	191
739125048	15691617	191
739125672	10948151	191
739126296	-1	-18
739126922	39754104	191
739127547	13914026	191
739128170	21489762	191
739128794	13195695	191
739129417	18902850	190
739130043	79940408	192
739130670	36579016	192
739131294	-1	-18
739131918	23092224	194
739132542	14665809	194
739133170	13195683	194
739133795	107235824	195
739134420	-1	-18
739135053	19628624	194
739135686	33258638	194
739136309	50772472	193
739136935	33309050	193
739137558	666104960	193
739138182	58313020	194
739138806	20168646	193
739139432	-1	-18
739140055	41245632	193
739140680	-1	-18
739141308	45799592	193
739141933	19646046	193
739142558	23387198	192
739143183	271409504	193
739143806	16176507	194
739144429	25592642	194
739145054	60231040	193
739145684	78794808	194
739146308	236399376	192
739146934	19787596	193
739147559	48852472	193
739148184	70464064	193
739148808	36098200	192
739149434	58005396	194
739150058	16730604	193
739150684	11762470	192
739151314	17960924	192
739151937	147538736	193
