739372217	-1	-18
739372565	32424758	3
739372871	34457680	4
739373218	43880248	3
739373529	127814368	4
739373875	42687312	3
739374181	165293952	3
739374529	67643112	4
739374835	33821556	3
739375181	57549744	3
739375486	-1	-18
739375831	34729840	4
739376136	28403060	3
739376482	-1	-18
739376788	14434662	4
739377134	34296424	3
739377440	18198664	3
739377786	90843296	3
739378097	65428672	4
739378442	56806188	3
739378753	16105497	3
739379103	-1	-18
739379409	144631632	3
739379756	-1	-18
739380063	180197088	3
739380409	51364488	3
739380720	354584544	3
739381066	50537996	3
739381374	-1	-18
739381720	-1	-18
739382027	-1	-18
739382376	123505304	3
739382683	46675236	3
739383029	274798624	5
739383335	36039336	3
739383681	55375340	3
739383987	16591689	3
739384337	-1	-18
739384643	29708078	3
739384992	20488352	4
739385298	-1	-18
739385651	34566056	3
739385962	50771464	3
739386308	17161590	3
739386625	-1	-18
739386976	594166912	4
739387283	36947884	3
739387633	594151616	3
739387944	42034400	3
739388295	33158342	3
739388601	-1	-18
739388947	183200160	3
739389259	-1	-18
739389609	38909764	4
739389920	11515974	3
739390265	40486280	3
739390572	-1	-18
739390918	45515500	3
739391224	161648576	3
739391569	14884232	4
739391875	-1	-18
739392221	104685456	4
739392531	55375468	5
739392876	10438747	4
739393182	-1	-18
739393527	66417140	3
739393835	79942208	3
739394180	16529330	4
739394486	61752820	5
739394836	-1	-18
739395146	-1	-18
739395492	-1	-18
739395803	37324264	4
739396149	14520486	3
739398412	-1	-18
739398735	11216332	4
739399072	80823720	3
739399373	16949892	2
739399723	130082728	3
739400038	29508730	2
739400388	53359200	2
739400700	29272954	3
739401050	67851880	2
739401363	18919110	2
739401712	25592572	3
739402025	19611074	2
739402375	16332853	2
739402688	20412244	2
739403039	24158220	2
739403357	203554128	2
739403910	10610036	2
739404263	-1	-18
739404579	74270272	2
739404936	-1	-18
739405252	-1	-18
739405605	18821914	2
739405931	72794576	3
739406284	18138600	2
739406600	14065257	3
739406958	13171962	3
739407282	22570842	4
739407633	17990192	4
739407950	15714069	2
739408302	10926443	3
739408619	11268061	2
739408977	-1	-18
739409294	104189592	5
739409648	115099488	2
739409965	20526600	3
739410317	10061323	4
739410634	32140372	4
739410985	30281038	3
